id,kode,path,nama
20000,"notadinas","/notadinas","Nota Dinas"        
20001,"notadinas-pegawai","/notadinas/pegawai","Pegawai"
20002,"notadinas-pegawai-act","/notadinas/pegawai/{act}/act","Baca Pegawai"
20003,"notadinas-pegawai-add","/notadinas/pegawai/add","Tambah Pegawai"
20004,"notadinas-pegawai-edit","/notadinas/pegawai/{id}/edit","Edit Pegawai"
20005,"notadinas-pegawai-delete","/notadinas/pegawai/{id}/delete","Hapus Pegawai"  
20006,"notadinas-jabatan","/notadinas/jabatan","Jabatan"
20007,"notadinas-jabatan-act","/notadinas/jabatan/{act}/act","Baca Jabatan"
20008,"notadinas-jabatan-add","/notadinas/jabatan/add","Tambah Jabatan"
20009,"notadinas-jabatan-edit","/notadinas/jabatan/{id}/edit","Edit Jabatan"
20010,"notadinas-jabatan-delete","/notadinas/jabatan/{id}/delete","Hapus Jabatan" 
20011,"notadinas-job","/notadinas/job","Pekerjaan"
20012,"notadinas-job-act","/notadinas/job/{act}/act","Baca Pekerjaan"
20013,"notadinas-job-add","/notadinas/job/add","Tambah Pekerjaan"
20014,"notadinas-job-edit","/notadinas/job/{id}/edit","Edit Pekerjaan"
20015,"notadinas-job-delete","/notadinas/job/{id}/delete","Hapus Pekerjaan"
20016,"notadinas-urusan","/notadinas/urusan","Urusan"
20017,"notadinas-urusan-act","/notadinas/urusan/{act}/act","Baca Urusan"
20018,"notadinas-urusan-add","/notadinas/urusan/add","Tambah Urusan"
20019,"notadinas-urusan-edit","/notadinas/urusan/{id}/edit","Edit Urusan"
20020,"notadinas-urusan-delete","/notadinas/urusan/{id}/delete","Hapus Urusan"
20021,"notadinas-unit","/notadinas/unit","Unit Kerja"
20022,"notadinas-unit-act","/notadinas/unit/{act}/act","Baca Unit Kerja"
20023,"notadinas-unit-add","/notadinas/unit/add","Tambah Unit Kerja"
20024,"notadinas-unit-edit","/notadinas/unit/{id}/edit","Edit Unit Kerja"
20025,"notadinas-unit-delete","/notadinas/unit/{id}/delete","Hapus Unit Kerja"    
20026,"notadinas-surat","/notadinas/surat","Surat"
20027,"notadinas-surat-act","/notadinas/surat/{act}/act","Baca Surat"
20028,"notadinas-surat-add","/notadinas/surat/add","Tambah Surat"
20029,"notadinas-surat-edit","/notadinas/surat/{id}/edit","Edit Surat"
20030,"notadinas-surat-delete","/notadinas/surat/{id}/delete","Hapus Surat" 
20031,"notadinas-surat-item-act","/notadinas/surat/item/{surat_id}/act/{act}","Baca Item Surat"     
20032,"notadinas-surat-item-add","/notadinas/surat/item/{surat_id}/add","Tambah Item Surat"           
20033,"notadinas-surat-item-delete","/notadinas/surat/item/{surat_id}/{id}/delete","Hapus Item Surat"
20034,"notadinas-surat-item-download","/notadinas/surat/item/{surat_id}/{id}/download","Download Item Surat"
20035,"notadinas-surat-penerima-act","/notadinas/surat/penerima/{surat_id}/act/{act}","Baca Penerima Surat"     
20036,"notadinas-surat-penerima-add","/notadinas/surat/penerima/{surat_id}/add","Tambah Penerima Surat"           
20037,"notadinas-surat-penerima-delete","/notadinas/surat/penerima/{surat_id}/{id}/delete","Hapus Penerima Surat"  
20038,"notadinas-surat-inbox","/notadinas/surat/inbox","Surat Masuk"
20039,"notadinas-surat-inbox-act","/notadinas/surat/inbox/{act}/act","Baca Surat Masuk"
20040,"notadinas-surat-inbox-add","/notadinas/surat/inbox/add","Tambah Surat Masuk"
20041,"notadinas-surat-inbox-edit","/notadinas/surat/inbox/{id}/edit","Edit Surat Masuk"
20042,"notadinas-surat-inbox-delete","/notadinas/surat/inbox/{id}/delete","Hapus Surat Masuk" 
20043,"notadinas-surat-inbox-forward","/notadinas/surat/inbox/{id}/forward","Teruskan Surat Masuk"
20044,"notadinas-surat-inbox-reply","/notadinas/surat/inbox/{id}/reply","Balas Surat Masuk" 
20045,"notadinas-surat-inbox-item-act","/notadinas/surat/inbox/item/{disposisi_id}/act/{act}","Baca Item Surat Masuk"     
20046,"notadinas-surat-inbox-item-add","/notadinas/surat/inbox/item/{disposisi_id}/add","Tambah Item Surat Masuk"           
20047,"notadinas-surat-inbox-item-delete","/notadinas/surat/inbox/item/{disposisi_id}/{id}/delete","Hapus Item Surat Masuk"
20048,"notadinas-surat-inbox-item-download","/notadinas/surat/inbox/item/{disposisi_id}/{id}/download","Download Item Surat Masuk"
20049,"notadinas-surat-outbox","/notadinas/surat/outbox","Surat Keluar"
20050,"notadinas-surat-outbox-act","/notadinas/surat/outbox/{act}/act","Baca Surat Keluar"
20051,"notadinas-surat-outbox-add","/notadinas/surat/outbox/add","Tambah Surat Keluar"
20052,"notadinas-surat-outbox-edit","/notadinas/surat/outbox/{id}/edit","Edit Surat Keluar"
20053,"notadinas-surat-outbox-delete","/notadinas/surat/outbox/{id}/delete","Hapus Surat Keluar" 
20054,"notadinas-surat-outbox-forward","/notadinas/surat/outbox/{id}/forward","Teruskan Surat Keluar"
20055,"notadinas-surat-outbox-item-act","/notadinas/surat/outbox/item/{disposisi_id}/act/{act}","Baca Item Surat Keluar"     
20056,"notadinas-surat-outbox-item-add","/notadinas/surat/outbox/item/{disposisi_id}/add","Tambah Item Surat Keluar"           
20057,"notadinas-surat-outbox-item-delete","/notadinas/surat/outbox/item/{disposisi_id}/{id}/delete","Hapus Item Surat Keluar"
20058,"notadinas-surat-outbox-item-download","/notadinas/surat/outbox/item/{disposisi_id}/{id}/download","Download Item Surat Keluar"
20059,"notadinas-surat-penerima2-act","/notadinas/surat/penerima2/{disposisi_id}/act/{act}","Baca Penerima Disposisi"     
20060,"notadinas-surat-penerima2-add","/notadinas/surat/penerima2/{disposisi_id}/add","Tambah Penerima Disposisi"           
20061,"notadinas-surat-penerima2-delete","/notadinas/surat/penerima2/{disposisi_id}/{id}/delete","Hapus Penerima Disposisi"  
20062,"notadinas-surat-report","/notadinas/surat/report","Laporan Surat"
20063,"notadinas-surat-report-act","/notadinas/surat/report/act/{act}","Baca Laporan Surat"